List,Method,Joules,milliSeconds
ArrayList,add,3.8352,225
ArrayList,remove,16.7118,1293
ArrayList,addAll,4.0158,213
ArrayList,contains,149.2101,14930
ArrayList,removeAll,800.6362,74570
ArrayList,iterator,4.2709,196
ArrayList,containsAll,14.2118,1210
ArrayList,toArray,3.6473,200
ArrayList,clear,3.6320,218
ArrayList,retainAll,191.2629,17515
ArrayList,addI,17.9630,1366
ArrayList,addAlli,3.1822,200
ArrayList,get,3.7491,225
ArrayList,indexOf,4.2838,207
ArrayList,lastIndexOf,27.2224,2438
ArrayList,set,4.0179,204
ArrayList,sublist,4.1009,203
ArrayList,listIterator,4.0923,199
ArrayList,listIteratori,3.5178,197
ArrayList,removei,15.7604,1238
ArrayList,iterateAll,3.9417,205
AttributeList,add,4.6749,228
AttributeList,remove,16.0287,1296
AttributeList,addAll,4.1970,213
AttributeList,contains,143.8105,14297
AttributeList,removeAll,815.9125,75055
AttributeList,iterator,4.2472,194
AttributeList,containsAll,14.1992,1161
AttributeList,toArray,3.8151,202
AttributeList,clear,4.2446,238
AttributeList,retainAll,189.2622,17436
AttributeList,addI,17.5091,1372
AttributeList,addAlli,3.6327,196
AttributeList,get,3.8010,196
AttributeList,indexOf,4.2417,208
AttributeList,lastIndexOf,26.7242,2408
AttributeList,set,3.8355,207
AttributeList,sublist,3.4186,202
AttributeList,listIterator,3.8791,197
AttributeList,listIteratori,4.8897,195
AttributeList,removei,15.5615,1238
AttributeList,iterateAll,3.8646,206
CopyOnWriteArrayList,add,59.9706,5552
CopyOnWriteArrayList,remove,85.5149,8048
CopyOnWriteArrayList,addAll,3.7459,212
CopyOnWriteArrayList,contains,138.7096,13608
CopyOnWriteArrayList,removeAll,848.7941,77949
CopyOnWriteArrayList,iterator,3.7052,200
CopyOnWriteArrayList,containsAll,15.4383,1282
CopyOnWriteArrayList,toArray,3.5124,196
CopyOnWriteArrayList,clear,4.1154,219
CopyOnWriteArrayList,retainAll,187.5156,17258
CopyOnWriteArrayList,addI,64.4550,6091
CopyOnWriteArrayList,addAlli,3.6868,195
CopyOnWriteArrayList,get,3.3272,196
CopyOnWriteArrayList,indexOf,4.0170,213
CopyOnWriteArrayList,lastIndexOf,26.5297,2448
CopyOnWriteArrayList,set,55.3024,5215
CopyOnWriteArrayList,sublist,3.5210,194
CopyOnWriteArrayList,listIterator,3.4499,201
CopyOnWriteArrayList,listIteratori,4.1712,197
CopyOnWriteArrayList,removei,57.5978,5359
CopyOnWriteArrayList,iterateAll,4.1047,200
LinkedList,add,6.2024,294
LinkedList,remove,5.2105,243
LinkedList,addAll,6.3524,306
LinkedList,contains,177.4864,17145
LinkedList,removeAll,829.8120,76059
