Map,Method,Joules,milliSeconds
ConcurrentHashMap,clear,8.0929,532
ConcurrentHashMap,containsKey,7.8434,426
ConcurrentHashMap,containsValue,3911.4124,461730
ConcurrentHashMap,entrySet,8.0325,434
ConcurrentHashMap,get,7.4986,434
ConcurrentHashMap,keySet,7.3338,436
ConcurrentHashMap,put,8.0530,458
ConcurrentHashMap,putAll,7.9165,460
ConcurrentHashMap,remove,8.8059,455
ConcurrentHashMap,values,7.3602,440
ConcurrentHashMap,iterateAll,7.5645,487
ConcurrentSkipListMap,clear,8.6506,548
ConcurrentSkipListMap,containsKey,9.1539,473
ConcurrentSkipListMap,containsValue,1334.8256,154701
ConcurrentSkipListMap,entrySet,8.0541,466
ConcurrentSkipListMap,get,8.1773,465
ConcurrentSkipListMap,keySet,8.2838,456
ConcurrentSkipListMap,put,8.6610,467
ConcurrentSkipListMap,putAll,9.6607,566
ConcurrentSkipListMap,remove,8.0675,474
ConcurrentSkipListMap,values,8.7056,463
ConcurrentSkipListMap,iterateAll,8.3979,494
HashMap,clear,8.2128,526
HashMap,containsKey,9.1804,550
HashMap,containsValue,730.9166,75444
HashMap,entrySet,9.0436,547
HashMap,get,9.4016,546
HashMap,keySet,9.4461,570
HashMap,put,9.5894,576
HashMap,putAll,9.6678,562
HashMap,remove,9.1076,545
HashMap,values,9.4056,571
HashMap,iterateAll,9.2449,570
Hashtable,clear,8.4732,522
Hashtable,containsKey,7.8745,451
Hashtable,containsValue,1128.1868,127397
Hashtable,entrySet,7.8135,438
Hashtable,get,8.2263,449
Hashtable,keySet,8.0567,448
Hashtable,put,8.4029,452
Hashtable,putAll,7.4861,443
Hashtable,remove,7.9131,437
Hashtable,values,7.9879,450
Hashtable,iterateAll,8.9272,477
LinkedHashMap,clear,7.9924,518
LinkedHashMap,containsKey,7.8521,429
LinkedHashMap,containsValue,545.2480,55788
LinkedHashMap,entrySet,7.8607,441
LinkedHashMap,get,8.0936,419
LinkedHashMap,keySet,7.5861,433
LinkedHashMap,put,8.3766,432
LinkedHashMap,putAll,7.6870,421
LinkedHashMap,remove,8.4532,422
LinkedHashMap,values,7.8246,438
LinkedHashMap,iterateAll,7.8789,451
SimpleBindings,clear,8.4215,516
SimpleBindings,containsKey,9.1259,536
SimpleBindings,containsValue,745.1696,76840
SimpleBindings,entrySet,8.6253,540
SimpleBindings,get,9.3113,542
SimpleBindings,keySet,9.3002,533
SimpleBindings,put,9.6672,557
SimpleBindings,putAll,9.3364,550
SimpleBindings,remove,8.3784,531
SimpleBindings,values,8.9347,548
SimpleBindings,iterateAll,9.7741,562
Properties,clear,8.0495,529
Properties,containsKey,8.0387,451
Properties,containsValue,1166.8370,131071
Properties,entrySet,7.7498,442
Properties,get,8.1691,453
Properties,keySet,8.0351,452
Properties,put,8.3302,448
Properties,putAll,7.6266,441
Properties,remove,8.1008,443
Properties,values,8.4208,441
Properties,iterateAll,8.5419,477
TreeMap,clear,8.5468,543
TreeMap,containsKey,7.1873,415
TreeMap,containsValue,1606.2652,183898
TreeMap,entrySet,7.3000,399
TreeMap,get,7.2236,415
TreeMap,keySet,7.5795,415
TreeMap,put,8.2926,421
TreeMap,putAll,7.5239,470
TreeMap,remove,8.0151,437
TreeMap,values,7.3330,415
TreeMap,iterateAll,7.3954,452
UIDefaults,clear,8.4711,527
UIDefaults,containsKey,7.9168,452
UIDefaults,containsValue,1204.5573,136323
UIDefaults,entrySet,8.7348,440
UIDefaults,get,8.8114,442
UIDefaults,keySet,7.8576,455
UIDefaults,put,7.9345,450
UIDefaults,putAll,7.9134,451
UIDefaults,remove,7.7442,447
UIDefaults,values,8.4531,451
UIDefaults,iterateAll,8.5096,475
WeakHashMap,clear,8.1116,522
WeakHashMap,containsKey,10.8584,610
WeakHashMap,containsValue,912.0360,91357
WeakHashMap,entrySet,10.3130,621
WeakHashMap,get,10.4985,621
WeakHashMap,keySet,9.9974,614
WeakHashMap,put,11.2110,633
WeakHashMap,putAll,9.7825,626
WeakHashMap,remove,8.4500,533
WeakHashMap,values,10.5991,615
WeakHashMap,iterateAll,10.4295,630
