Set,Method,Joules,milliSeconds
ConcurrentSkipListSet,add,14.0472,824
ConcurrentSkipListSet,remove,12.7444,789
ConcurrentSkipListSet,addAll,19.5092,1518
ConcurrentSkipListSet,contains,13.6576,870
ConcurrentSkipListSet,removeAll,17.2849,1293
ConcurrentSkipListSet,iterator,13.2534,752
ConcurrentSkipListSet,containsAll,16.9809,1212
ConcurrentSkipListSet,toArray,14.8120,875
ConcurrentSkipListSet,clear,11.5958,747
ConcurrentSkipListSet,retainAll,3621.9872,346898
ConcurrentSkipListSet,iterateAll,13.0184,785
HashSet,add,17.5243,1072
HashSet,remove,15.5699,949
HashSet,addAll,17.8589,1100
HashSet,contains,16.6950,1014
HashSet,removeAll,17.0514,998
HashSet,iterator,16.7433,1013
HashSet,containsAll,17.2110,1038
HashSet,toArray,17.8458,1070
HashSet,clear,12.0199,764
HashSet,retainAll,3912.0129,384829
HashSet,iterateAll,18.1706,1091
LinkedHashSet,add,15.0643,876
LinkedHashSet,remove,13.6615,799
LinkedHashSet,addAll,16.5155,983
LinkedHashSet,contains,15.6210,880
LinkedHashSet,removeAll,14.5821,841
LinkedHashSet,iterator,15.5284,850
LinkedHashSet,containsAll,15.8865,886
LinkedHashSet,toArray,14.3511,848
LinkedHashSet,clear,12.2874,770
LinkedHashSet,retainAll,3584.3529,346337
LinkedHashSet,iterateAll,15.4155,865
TreeSet,add,14.1021,758
TreeSet,remove,11.2653,675
TreeSet,addAll,13.5737,983
TreeSet,contains,11.2337,682
TreeSet,removeAll,13.2071,937
TreeSet,iterator,11.0499,641
TreeSet,containsAll,12.3979,844
TreeSet,toArray,13.1271,750
TreeSet,clear,11.5565,758
TreeSet,retainAll,4111.2397,408297
TreeSet,iterateAll,11.2088,684
