Set,Method,Joules,milliSeconds
ConcurrentSkipListSet,add,1.6822,87
ConcurrentSkipListSet,remove,1.7877,78
ConcurrentSkipListSet,addAll,1.4549,93
ConcurrentSkipListSet,contains,1.4213,88
ConcurrentSkipListSet,removeAll,1.8072,85
ConcurrentSkipListSet,iterator,1.6096,83
ConcurrentSkipListSet,containsAll,1.8317,96
ConcurrentSkipListSet,toArray,1.4789,86
ConcurrentSkipListSet,clear,1.4901,78
ConcurrentSkipListSet,retainAll,3.2607,206
ConcurrentSkipListSet,iterateAll,1.9225,99
HashSet,add,1.7749,87
HashSet,remove,1.2633,75
HashSet,addAll,1.4771,89
HashSet,contains,2.0685,78
HashSet,removeAll,2.1359,77
HashSet,iterator,1.7596,75
HashSet,containsAll,1.4000,77
HashSet,toArray,1.3833,80
HashSet,clear,1.0586,64
HashSet,retainAll,2.4092,200
HashSet,iterateAll,1.4554,92
LinkedHashSet,add,1.4917,75
LinkedHashSet,remove,1.2458,93
LinkedHashSet,addAll,1.9335,94
LinkedHashSet,contains,1.0401,76
LinkedHashSet,removeAll,1.9145,100
LinkedHashSet,iterator,0.9613,76
LinkedHashSet,containsAll,2.1748,88
LinkedHashSet,toArray,1.3776,79
LinkedHashSet,clear,1.3288,60
LinkedHashSet,retainAll,2.2512,199
LinkedHashSet,iterateAll,1.2907,83
TreeSet,add,1.4817,92
TreeSet,remove,1.0700,76
TreeSet,addAll,1.5101,93
TreeSet,contains,2.0446,79
TreeSet,removeAll,1.3920,91
TreeSet,iterator,1.7239,76
TreeSet,containsAll,1.4443,89
TreeSet,toArray,1.6292,80
TreeSet,clear,1.8566,73
TreeSet,retainAll,3.2222,193
TreeSet,iterateAll,1.3844,83
